바이브코딩 유추 플랫폼,링크,바이브코딩 의심 점수,취약점,취약한 데이터,게시날짜,site_id,original_url,final_url,domain,http_status,page_title,html_lang,korea_score,korea_class,hangul_ratio,builder,builder_score,builder_class,builder_evidence,framework,external_domains,response_time,scan_timestamp,needs_deep_scan,published_date,error
Unknown,https://cowork.mo.ai.kr/,0,NOT_SCANNED,,,d2675c1cf89a6a0b,https://cowork.mo.ai.kr/,https://cowork.mo.ai.kr/,cowork.mo.ai.kr,200,모두의 코워크,ko,8,KR_CONFIRMED,0.756,unknown,0,UNKNOWN,[],{},"[""cdn.jsdelivr.net"", ""fonts.googleapis.com"", ""fonts.gstatic.com""]",0.2122,2026-09-17T07:31:28.470316+00:00,False,,
Unknown,https://pokemon-card-store-app.vercel.app/,0,NOT_SCANNED,,,e7e97f73a8cd21ce,https://pokemon-card-store-app.vercel.app/,https://pokemon-card-store-app.vercel.app/,pokemon-card-store-app.vercel.app,200,트레이너 카드샵 맵,ko,6,KR_CONFIRMED,1.0,unknown,0,UNKNOWN,[],"{""framework"": ""vite""}","[""cdn.jsdelivr.net"", ""fonts.googleapis.com"", ""fonts.gstatic.com""]",0.5973,2026-09-17T07:31:28.857080+00:00,False,,
Unknown,https://pick3-five.vercel.app/,0,NOT_SCANNED,,,fa15f8da44e7e183,https://pick3-five.vercel.app/,https://pick3-five.vercel.app/,pick3-five.vercel.app,404,,,0,NON_KR_OR_UNKNOWN,0.0,unknown,0,UNKNOWN,[],{},[],1.0883,2026-09-17T07:31:29.579065+00:00,False,,
Unknown,https://vibecheck-beige-seven.vercel.app/,0,NOT_SCANNED,,,c52cea4a4a62b12e,https://vibecheck-beige-seven.vercel.app/,https://vibecheck-beige-seven.vercel.app/,vibecheck-beige-seven.vercel.app,404,,,0,NON_KR_OR_UNKNOWN,0.0,unknown,0,UNKNOWN,[],{},[],0.7752,2026-09-17T07:31:29.638703+00:00,False,,
Unknown,https://pjdurden.github.io/claude-skills-live/,0,NOT_SCANNED,,,e86b35510b28b177,https://pjdurden.github.io/claude-skills-live,https://pjdurden.github.io/claude-skills-live/,pjdurden.github.io,200,claude-skills-live,en,1,NON_KR_OR_UNKNOWN,0.0006,unknown,0,UNKNOWN,[],"{""framework"": ""react"", ""css"": ""tailwind"", ""router"": ""tanstack"", ""backend"": ""supabase""}",[],0.759,2026-09-17T07:31:29.028731+00:00,False,,
Unknown,https://modern-invite-hub.vercel.app/,0,NOT_SCANNED,,,39029e8d781bcbfe,https://modern-invite-hub.vercel.app/,https://modern-invite-hub.vercel.app/,modern-invite-hub.vercel.app,200,최홍준 ♥ 이민아 결혼합니다,en,7,KR_CONFIRMED,0.7403,unknown,0,UNKNOWN,[],"{""framework"": ""vite""}","[""fonts.googleapis.com"", ""fonts.gstatic.com""]",1.5477,2026-09-17T07:31:29.804269+00:00,False,,
Unknown,https://github.com/abhijithvijayan/stargazed,0,NOT_SCANNED,,,3aeb002460381c6f,https://github.com/abhijithvijayan/stargazed,https://github.com/abhijithvijayan/stargazed,github.com,200,GitHub - abhijithvijayan/stargazed: 📋 Creating your own Awesome List of GitHub stars! · GitHub,en,0,NON_KR_OR_UNKNOWN,0.0,unknown,0,UNKNOWN,[],"{""framework"": ""react"", ""router"": ""tanstack""}","[""avatars.githubusercontent.com"", ""github-cloud.s3.amazonaws.com"", ""github.githubassets.com"", ""user-images.githubusercontent.com""]",1.3328,2026-09-17T07:31:29.586991+00:00,False,,
Unknown,https://xianyu110.github.io/awesome-gpt-image2.5/,0,NOT_SCANNED,,,b89ebaf051083673,https://xianyu110.github.io/awesome-gpt-image2.5,https://xianyu110.github.io/awesome-gpt-image2.5/,xianyu110.github.io,200,Awesome GPT Image 2.5 · 玩法画廊 · MaynorAI,zh-cn,0,NON_KR_OR_UNKNOWN,0.0,unknown,0,UNKNOWN,[],{},"[""github.com""]",0.7755,2026-09-17T07:31:30.413994+00:00,False,,
Unknown,https://anentrypoint.github.io/awesome-github/,0,NOT_SCANNED,,,4cd63fc7e870b3f1,https://anentrypoint.github.io/awesome-github,https://anentrypoint.github.io/awesome-github/,anentrypoint.github.io,200,awesome-github,en,0,NON_KR_OR_UNKNOWN,0.0,unknown,0,UNKNOWN,[],{},[],0.6515,2026-09-17T07:31:30.466843+00:00,False,,
Unknown,https://attendance-pi-green.vercel.app/,0,NOT_SCANNED,,,1c5dd69a83543270,https://attendance-pi-green.vercel.app/,https://attendance-pi-green.vercel.app/,attendance-pi-green.vercel.app,200,학원 출결 키오스크,ko,7,KR_CONFIRMED,0.7665,unknown,0,UNKNOWN,[],{},[],0.9473,2026-09-17T07:31:30.517240+00:00,False,,
Unknown,https://yangmao.ai/zh/,0,NOT_SCANNED,,,388f14df9bb8ebd1,https://yangmao.ai/,https://yangmao.ai/zh/,yangmao.ai,200,yangmao.ai — 全球 AI 工具价格、模型能力和免费额度每日雷达,zh-cn,0,NON_KR_OR_UNKNOWN,0.0,unknown,0,UNKNOWN,[],{},"[""fonts.googleapis.com"", ""fonts.gstatic.com"", ""umami.thew0rm.com""]",0.8948,2026-09-17T07:31:30.537679+00:00,False,,
Unknown,https://skills.911fund.io/,0,NOT_SCANNED,,,1748e4edf85b1c4b,https://skills.911fund.io/,https://skills.911fund.io/,skills.911fund.io,200,Skill of Skills - AI Coding Skills Directory,en,0,NON_KR_OR_UNKNOWN,0.0,unknown,0,UNKNOWN,[],"{""framework"": ""next.js""}",[],1.0609,2026-09-17T07:31:30.700363+00:00,False,,
Unknown,https://api.edenapi.org/docs,0,NOT_SCANNED,,,4bbe47f5867c7b1e,https://api.edenapi.org/docs,https://api.edenapi.org/docs,api.edenapi.org,200,EDEN API - Swagger UI,,0,NON_KR_OR_UNKNOWN,0.0,unknown,0,UNKNOWN,[],{},"[""cdn.jsdelivr.net"", ""fastapi.tiangolo.com""]",0.5438,2026-09-17T07:31:31.075895+00:00,False,,
Unknown,https://seonju5543-web.github.io/hanggonggan/,0,NOT_SCANNED,,,b254c569697a4196,https://seonju5543-web.github.io/hanggonggan,https://seonju5543-web.github.io/hanggonggan/,seonju5543-web.github.io,200,"한대장 — 한국 대학교 장학금, 한 번에",ko,8,KR_CONFIRMED,0.9837,unknown,0,UNKNOWN,[],"{""backend"": ""supabase""}","[""cdn.jsdelivr.net""]",0.6403,2026-09-17T07:31:31.219224+00:00,False,,
Unknown,https://vibequant.cc/,0,NOT_SCANNED,,,f06126a85eda1f6c,https://vibequant.cc/,https://vibequant.cc/,vibequant.cc,200,VibeQuant — AI Quant · CTI · Web3,ko,7,KR_CONFIRMED,0.1986,unknown,0,UNKNOWN,[],{},"[""fonts.googleapis.com"", ""fonts.gstatic.com""]",0.5615,2026-09-17T07:31:31.284795+00:00,False,,
Unknown,https://aram.mir.sh/en/,0,NOT_SCANNED,,,6a75cea219c2a986,https://aram.mir.sh/en,https://aram.mir.sh/en/,aram.mir.sh,200,ARAM - Korean Feature-Phone (WIPI) Emulator,en,0,NON_KR_OR_UNKNOWN,0.001,unknown,0,UNKNOWN,[],{},"[""cdn.jsdelivr.net""]",0.9918,2026-09-17T07:31:31.420156+00:00,False,,
Unknown,https://us-elections-2026.github.io/,0,NOT_SCANNED,,,e38680481d3ac3b2,https://us-elections-2026.github.io/,https://us-elections-2026.github.io/,us-elections-2026.github.io,200,미국 중간선거 한국어 브리핑,ko,7,KR_CONFIRMED,0.8366,unknown,0,UNKNOWN,[],{},"[""cdn.jsdelivr.net"", ""cdnjs.cloudflare.com"", ""fonts.googleapis.com"", ""fonts.gstatic.com""]",0.5157,2026-09-17T07:31:31.602302+00:00,False,,
Unknown,https://rodert.github.io/awesome-mcp/,0,NOT_SCANNED,,,69e4ef88405f422e,https://rodert.github.io/awesome-mcp,https://rodert.github.io/awesome-mcp/,rodert.github.io,200,Awesome MCP | awesome-mcp,en-us,1,NON_KR_OR_UNKNOWN,0.0004,unknown,0,UNKNOWN,[],"{""framework"": ""react"", ""css"": ""tailwind"", ""router"": ""tanstack"", ""backend"": ""supabase""}","[""cdnjs.cloudflare.com""]",1.4116,2026-09-17T07:31:31.902124+00:00,False,,
Unknown,https://github.com/Gabeujin/codex-plugins,0,NOT_SCANNED,,,3aeb002460381c6f,https://github.com/Gabeujin/codex-plugins,https://github.com/Gabeujin/codex-plugins,github.com,200,"GitHub - Gabeujin/codex-plugins: Community Codex plugins: K-Tech Radar research, KGJ Design, and Canvas Web Experiences · GitHub",en,4,KR_POSSIBLE,0.2651,unknown,0,UNKNOWN,[],"{""framework"": ""react"", ""router"": ""tanstack""}","[""avatars.githubusercontent.com"", ""github-cloud.s3.amazonaws.com"", ""github.githubassets.com"", ""user-images.githubusercontent.com""]",1.3639,2026-09-17T07:31:32.610095+00:00,False,,
